pickup_hour,pickup_dayofweek,time_of_day,is_weekend,trip_count,total_fare,avg_fare,avg_tip_pct,avg_distance,avg_duration_min,avg_fare_per_mile,avg_passengers
0,1,overnight,True,32,368.5,11.52,14.82,2.79,11.95,4.85,2.13
1,1,overnight,True,25,269.5,10.78,14.85,2.65,10.61,4.95,1.6
2,1,overnight,True,26,325.5,12.52,11.29,3.33,12.39,4.18,2.04
3,1,overnight,True,12,132.0,11.0,10.67,2.88,9.42,5.03,1.25
4,1,overnight,True,8,82.5,10.31,9.75,2.64,8.12,5.63,1.0
5,1,overnight,True,3,29.0,9.67,7.02,2.55,7.52,4.06,2.67
6,1,overnight,True,8,150.0,18.75,1.92,6.01,12.51,3.32,1.5
7,1,morning_rush,True,5,39.5,7.9,4.29,1.8,6.47,4.87,1.8
8,1,morning_rush,True,13,174.5,13.42,4.16,3.96,10.03,4.78,1.77
9,1,morning_rush,True,21,213.5,10.17,8.92,2.55,9.33,4.74,1.81
10,1,midday,True,13,187.0,14.38,8.7,3.85,12.99,4.76,1.38
11,1,midday,True,19,200.0,10.53,9.34,2.55,10.15,4.98,2.05
12,1,midday,True,21,252.5,12.02,12.67,2.71,13.13,5.11,1.62
13,1,midday,True,24,296.5,12.35,12.77,2.86,10.7,6.01,2.38
14,1,midday,True,41,587.5,14.33,9.05,3.57,14.88,5.26,1.68
15,1,midday,True,19,257.0,13.53,13.92,3.25,14.88,5.19,1.79
16,1,evening_rush,True,23,345.0,15.0,9.82,3.94,16.88,5.85,2.09
17,1,evening_rush,True,13,111.5,8.58,8.16,1.78,8.7,5.87,1.38
18,1,evening_rush,True,17,196.5,11.56,12.98,2.79,11.32,5.25,1.94
19,1,evening_rush,True,13,154.0,11.85,13.62,2.77,11.59,5.46,1.54
20,1,night,True,27,273.0,10.11,8.86,2.41,10.23,5.35,2.26
21,1,night,True,15,250.5,16.7,7.62,4.58,17.3,4.42,1.6
22,1,night,True,25,369.5,14.78,15.07,4.15,13.53,4.52,2.04
23,1,night,True,18,222.0,12.33,7.49,3.33,10.88,4.54,1.67
0,2,overnight,False,19,200.0,10.53,8.39,2.7,9.86,5.2,1.95
1,2,overnight,False,5,78.0,15.6,8.38,4.79,11.29,6.57,1.8
2,2,overnight,False,8,93.5,11.69,6.75,3.19,10.25,4.05,1.0
3,2,overnight,False,3,55.0,18.33,7.27,6.04,12.99,3.21,2.67
4,2,overnight,False,5,116.0,23.2,10.55,7.81,15.63,3.56,1.2
5,2,overnight,False,5,139.5,27.9,15.53,9.7,18.94,3.55,1.0
6,2,overnight,False,8,74.0,9.25,9.15,2.27,8.61,4.27,1.63
7,2,morning_rush,False,17,195.5,11.5,17.25,2.83,14.86,5.31,1.88
8,2,morning_rush,False,20,313.0,15.65,9.38,3.29,19.91,5.78,1.4
9,2,morning_rush,False,22,280.0,12.73,11.81,2.77,14.38,6.11,1.32
10,2,midday,False,21,297.5,14.17,9.75,3.82,12.82,7.28,2.1
11,2,midday,False,18,201.5,11.19,6.24,2.37,16.03,6.81,1.44
12,2,midday,False,18,284.0,15.78,13.61,3.99,16.2,5.72,1.44
13,2,midday,False,17,253.5,14.91,5.5,3.74,15.07,5.55,1.47
14,2,midday,False,16,324.5,20.28,13.74,5.73,19.14,5.21,1.88
15,2,midday,False,20,234.5,11.73,11.42,2.75,12.04,7.6,1.7
16,2,evening_rush,False,17,243.5,14.32,12.32,3.92,13.61,5.58,1.82
17,2,evening_rush,False,24,302.0,12.58,10.87,3.13,12.95,5.27,1.38
18,2,evening_rush,False,21,191.5,9.12,11.32,1.89,9.73,7.2,1.67
19,2,evening_rush,False,28,383.0,13.68,10.69,3.31,13.77,6.44,1.54
20,2,night,False,25,270.0,10.8,10.15,1.97,9.73,5.89,1.32
21,2,night,False,18,222.0,12.33,10.77,3.48,10.07,4.77,1.61
22,2,night,False,27,289.5,10.72,14.14,2.64,10.48,4.69,1.63
23,2,night,False,14,198.5,14.18,15.37,4.11,11.58,4.73,1.36
0,3,overnight,False,11,201.5,18.32,17.57,5.56,15.2,3.96,2.36
1,3,overnight,False,3,29.5,9.83,2.22,2.54,8.16,4.05,1.0
2,3,overnight,False,11,170.5,15.5,19.6,4.44,13.77,4.33,1.36
3,3,overnight,False,2,18.0,9.0,10.42,2.05,7.94,4.93,1.0
4,3,overnight,False,3,45.0,15.0,17.68,3.65,17.0,4.02,1.33
5,3,overnight,False,3,68.0,22.67,7.41,7.17,16.21,3.66,1.0
6,3,overnight,False,9,104.5,11.61,14.59,3.15,9.87,4.46,1.0
7,3,morning_rush,False,11,123.5,11.23,13.04,2.95,10.39,5.59,1.0
8,3,morning_rush,False,31,346.5,11.18,11.19,2.07,13.85,13.98,1.94
9,3,morning_rush,False,30,491.0,16.37,14.47,3.39,21.45,6.19,1.47
10,3,midday,False,22,217.5,9.89,13.7,1.79,11.69,7.3,1.27
11,3,midday,False,19,305.0,16.05,12.94,3.64,18.08,6.19,1.53
12,3,midday,False,17,347.5,20.44,7.89,5.75,18.86,4.96,1.88
13,3,midday,False,19,246.5,12.97,9.23,2.56,15.71,6.96,1.95
14,3,midday,False,36,374.0,10.39,11.32,1.97,11.73,9.5,1.92
15,3,midday,False,32,352.0,11.0,9.16,2.16,12.78,7.56,1.63
